iter	Passed	Remaining
408	7316	10572
409	7336	10557
410	7355	10541
411	7377	10528
412	7400	10518
413	7420	10503
414	7440	10488
415	7460	10472
416	7479	10456
417	7494	10435
418	7512	10417
419	7529	10398
420	7553	10388
421	7574	10374
422	7590	10353
423	7605	10331
424	7623	10313
425	7639	10293
426	7660	10279
427	7680	10264
428	7700	10248
429	7719	10232
430	7737	10214
431	7759	10201
432	7777	10184
433	7796	10168
434	7815	10151
435	7837	10138
436	7858	10124
437	7878	10108
438	7896	10091
439	7917	10077
440	7937	10061
441	7957	10045
442	7976	10029
443	7997	10015
444	8016	9997
445	8036	9981
446	8056	9966
447	8077	9952
448	8098	9938
449	8119	9923
450	8139	9908
451	8164	9898
452	8183	9882
453	8201	9863
454	8221	9847
455	8240	9830
456	8260	9815
457	8280	9799
458	8303	9786
459	8324	9772
460	8344	9756
461	8364	9740
462	8384	9724
463	8403	9707
464	8422	9690
465	8442	9674
466	8465	9662
467	8490	9651
468	8508	9633
469	8528	9616
470	8546	9599
471	8565	9581
472	8586	9566
473	8608	9552
474	8631	9540
475	8652	9524
476	8670	9506
477	8690	9490
478	8710	9474
479	8727	9455
480	8746	9437
481	8765	9419
482	8788	9406
483	8809	9392
484	8830	9376
485	8849	9359
486	8869	9342
487	8888	9325
488	8909	9309
489	8929	9294
490	8950	9278
491	8970	9262
492	8990	9246
493	9011	9230
494	9029	9212
495	9047	9193
496	9068	9178
497	9090	9163
498	9113	9149
499	9134	9134
500	9153	9117
501	9173	9100
502	9187	9077
503	9207	9061
504	9228	9045
505	9252	9033
506	9271	9015
507	9289	8996
508	9309	8980
509	9330	8965
510	9353	8950
511	9367	8928
512	9388	8913
513	9406	8894
514	9425	8876
515	9445	8859
516	9463	8841
517	9482	8823
518	9503	8808
519	9524	8791
520	9546	8776
521	9569	8763
522	9589	8746
523	9608	8728
524	9628	8711
525	9649	8695
526	9669	8678
527	9688	8661
528	9709	8645
529	9728	8627
530	9749	8610
531	9768	8593
532	9786	8574
533	9805	8556
534	9823	8538
535	9842	8520
536	9867	8507
537	9888	8491
538	9908	8474
539	9927	8456
540	9943	8435
541	9962	8418
542	9982	8401
543	10000	8383
544	10018	8363
545	10040	8348
546	10062	8333
547	10084	8318
548	10107	8302
549	10126	8285
550	10145	8267
551	10166	8251
552	10184	8232
553	10204	8215
554	10224	8198
555	10243	8180
556	10269	8167
557	10290	8151
558	10309	8133
559	10328	8114
560	10347	8096
561	10369	8081
562	10389	8064
563	10413	8050
564	10433	8032
565	10452	8014
566	10471	7996
567	10491	7979
568	10511	7962
569	10526	7940
570	10546	7923
571	10571	7910
572	10594	7894
573	10610	7874
574	10630	7857
575	10648	7838
576	10667	7820
577	10687	7803
578	10708	7786
579	10731	7771
580	10753	7754
581	10772	7737
582	10792	7719
583	10812	7702
584	10832	7684
585	10851	7666
586	10873	7650
587	10892	7632
588	10914	7616
589	10934	7598
590	10952	7579
591	10971	7561
592	10990	7543
593	11010	7525
594	11029	7507
595	11052	7492
596	11077	7477
597	11096	7459
598	11116	7442
599	11136	7424
600	11156	7406
601	11172	7386
602	11188	7365
603	11204	7346
604	11228	7330
605	11245	7311
606	11264	7293
607	11284	7275
608	11303	7257
609	11322	7238
610	11342	7221
611	11363	7204
612	11387	7189
613	11407	7171
614	11426	7153
615	11446	7135
616	11465	7117
617	11484	7098
618	11500	7078
619	11519	7060
620	11541	7043
621	11561	7026
622	11580	7007
623	11600	6990
624	11619	6971
625	11638	6953
626	11656	6934
627	11679	6918
628	11698	6900
629	11716	6881
630	11735	6862
631	11755	6845
632	11777	6828
633	11796	6809
634	11815	6791
635	11838	6775
636	11859	6758
637	11877	6739
638	11896	6721
639	11913	6701
640	11933	6683
641	11952	6665
642	11973	6648
643	11993	6630
644	12014	6612
645	12033	6594
646	12050	6574
647	12067	6554
648	12086	6536
649	12107	6519
650	12125	6500
651	12149	6484
652	12170	6467
653	12190	6449
654	12210	6431
655	12229	6413
656	12249	6395
657	12265	6374
658	12283	6356
659	12307	6340
660	12327	6322
661	12345	6303
662	12363	6284
663	12385	6267
664	12405	6249
665	12421	6229
666	12436	6209
667	12456	6190
668	12473	6171
669	12490	6151
670	12505	6131
671	12521	6111
672	12541	6093
673	12560	6075
674	12577	6055
675	12592	6035
676	12614	6018
677	12636	6001
678	12652	5981
679	12668	5961
680	12685	5942
681	12700	5921
682	12720	5903
683	12735	5883
684	12751	5863
685	12765	5843
686	12785	5825
687	12809	5808
688	12829	5791
689	12850	5773
690	12870	5755
691	12889	5737
692	12910	5719
693	12930	5701
694	12954	5685
695	12974	5667
696	12996	5649
697	13015	5631
698	13035	5613
699	13053	5594
700	13068	5574
701	13088	5556
702	13106	5537
703	13123	5517
704	13143	5499
705	13163	5481
706	13182	5463
707	13201	5444
708	13222	5427
709	13243	5409
710	13266	5392
711	13280	5372
712	13301	5354
713	13322	5336
714	13338	5316
715	13359	5298
716	13378	5280
717	13398	5262
718	13419	5244
719	13438	5226
720	13457	5207
721	13476	5189
722	13493	5169
723	13515	5152
724	13534	5133
725	13549	5113
726	13573	5097
727	13589	5077
728	13606	5058
729	13621	5038
730	13639	5019
731	13656	4999
732	13672	4980
733	13692	4962
734	13708	4942
735	13730	4925
736	13746	4905
737	13765	4886
738	13780	4866
739	13796	4847
740	13810	4827
741	13826	4807
742	13843	4788
743	13857	4768
744	13875	4749
745	13894	4730
746	13911	4711
747	13928	4692
748	13946	4673
749	13964	4654
750	13979	4635
751	13996	4615
752	14014	4597
753	14033	4578
754	14051	4559
755	14067	4540
756	14082	4520
757	14096	4500
758	14109	4480
759	14122	4459
760	14137	4439
761	14155	4421
762	14172	4402
763	14185	4381
764	14204	4363
765	14219	4343
766	14231	4323
767	14245	4303
768	14260	4283
769	14275	4264
770	14288	4244
771	14303	4224
772	14316	4204
773	14329	4184
774	14347	4165
775	14364	4146
776	14380	4127
777	14395	4107
778	14409	4087
779	14425	4068
780	14436	4048
781	14452	4028
782	14467	4009
783	14483	3990
784	14503	3972
785	14522	3953
786	14542	3935
787	14555	3916
788	14575	3897
789	14588	3877
790	14605	3859
791	14619	3839
792	14632	3819
793	14653	3801
794	14670	3783
795	14685	3763
796	14702	3744
797	14721	3726
798	14733	3706
799	14748	3687
800	14763	3667
801	14779	3648
802	14797	3630
803	14818	3612
804	14832	3592
805	14847	3573
806	14861	3554
807	14875	3534
808	14890	3515
809	14905	3496
810	14921	3477
811	14936	3458
812	14951	3438
813	14965	3419
814	14983	3401
815	14999	3382
816	15016	3363
817	15031	3344
818	15048	3325
819	15064	3306
820	15079	3287
821	15092	3268
822	15106	3248
823	15128	3231
824	15144	3212
825	15161	3193
826	15180	3175
827	15196	3156
828	15214	3138
829	15229	3119
830	15244	3100
831	15261	3081
832	15322	3071
833	15379	3061
834	15412	3045
835	15448	3030
836	15466	3012
837	15481	2992
838	15502	2974
839	15523	2956
840	15538	2937
841	15557	2919
842	15576	2900
843	15598	2883
844	15612	2863
845	15629	2845
846	15644	2826
847	15664	2807
848	15677	2788
849	15691	2769
850	15707	2750
851	15721	2730
852	15739	2712
853	15754	2693
854	15775	2675
855	15795	2657
856	15809	2638
857	15830	2619
858	15847	2601
859	15864	2582
860	15881	2563
861	15899	2545
862	15915	2526
863	15934	2508
864	15948	2489
865	15964	2470
866	15985	2452
867	16004	2433
868	16022	2415
869	16039	2396
870	16055	2377
871	16074	2359
872	16092	2341
873	16110	2322
874	16125	2303
875	16145	2285
876	16161	2266
877	16176	2247
878	16191	2228
879	16204	2209
880	16220	2190
881	16233	2171
882	16253	2153
883	16266	2134
884	16284	2116
885	16299	2097
886	16317	2078
887	16335	2060
888	16350	2041
889	16366	2022
890	16382	2004
891	16398	1985
892	16412	1966
893	16433	1948
894	16455	1930
895	16467	1911
896	16482	1892
897	16494	1873
898	16510	1854
899	16526	1836
900	16539	1817
901	16556	1798
902	16572	1780
903	16587	1761
904	16610	1743
905	16628	1725
906	16646	1706
907	16660	1688
908	16678	1669
909	16695	1651
910	16709	1632
911	16725	1613
912	16738	1594
913	16760	1577
914	16778	1558
915	16793	1540
916	16807	1521
917	16823	1502
918	16836	1483
919	16850	1465
920	16868	1446
921	16884	1428
922	16903	1410
923	16925	1392
924	16952	1374
925	16972	1356
926	16992	1338
927	17009	1319
928	17028	1301
929	17048	1283
930	17069	1265
931	17085	1246
932	17102	1228
933	17125	1210
934	17140	1191
935	17156	1173
936	17171	1154
937	17187	1136
938	17206	1117
939	17222	1099
940	17238	1080
941	17257	1062
942	17279	1044
943	17296	1026
944	17312	1007
945	17327	989
946	17344	970
947	17360	952
948	17381	934
949	17398	915
950	17420	897
951	17436	879
952	17454	860
953	17470	842
954	17488	824
955	17505	805
956	17524	787
957	17543	769
958	17565	750
959	17583	732
960	17600	714
961	17619	695
962	17643	677
963	17664	659
964	17687	641
965	17710	623
966	17737	605
967	17759	587
968	17780	568
969	17804	550
970	17825	532
971	17844	514
972	17864	495
973	17885	477
974	17904	459
975	17924	440
976	17944	422
977	17964	404
978	17985	385
979	18005	367
980	18024	349
981	18047	330
982	18067	312
983	18086	294
984	18106	275
