tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
1428,5,42,12,31,8,29,2,2015-08-25 12:30:00,50000000
1429,12,20,45,43,14,7,39,2015-08-25 14:30:00,50000000
1430,17,13,18,5,49,42,32,2015-08-25 16:30:00,50000000
1431,20,9,27,23,35,8,46,2015-08-25 18:30:00,50000000
1432,28,49,15,34,42,41,29,2015-08-25 20:30:00,50000000
1433,21,1,13,8,9,2,28,2015-08-25 22:30:00,50000000
1434,32,25,36,21,20,8,46,2015-08-26 12:30:00,50000000
1435,6,25,40,17,15,8,27,2015-08-26 14:30:00,50000000
1436,31,30,19,25,12,32,39,2015-08-26 16:30:00,50000000
1437,8,38,39,49,11,47,33,2015-08-26 18:30:00,50000000
1438,36,42,29,16,12,11,47,2015-08-26 20:30:00,50000000
1439,16,14,46,18,3,6,12,2015-08-26 22:30:00,50000000
1440,8,10,41,15,39,23,2,2015-08-27 12:30:00,50000000
1441,14,32,13,20,15,11,41,2015-08-27 14:30:00,50000000
1442,14,19,20,35,41,46,24,2015-08-27 16:30:00,50000000
1443,37,29,16,23,6,45,20,2015-08-27 18:30:00,50000000
1444,44,21,10,40,12,23,31,2015-08-27 20:30:00,50000000
1445,13,1,29,7,9,33,31,2015-08-27 22:30:00,50000000
1446,31,7,3,22,26,49,29,2015-08-28 12:30:00,50000000
1447,8,42,13,37,26,46,7,2015-08-28 14:30:00,50000000
1448,48,23,6,17,38,44,46,2015-08-28 16:30:00,50000000
1449,9,43,35,38,42,31,32,2015-08-28 18:30:00,50000000
1450,46,22,4,30,3,28,26,2015-08-28 20:30:00,50000000
1451,49,25,11,39,28,32,4,2015-08-28 22:30:00,50000000
1452,29,41,18,30,16,38,5,2015-08-29 12:30:00,50000000
1453,5,33,37,30,2,15,17,2015-08-29 14:30:00,50000000
1454,28,18,26,21,39,4,17,2015-08-29 16:30:00,50000000
1455,7,23,43,18,17,44,13,2015-08-29 18:30:00,50000000
1456,15,31,20,26,29,46,27,2015-08-29 20:30:00,50000000
1457,29,41,15,13,14,18,9,2015-08-29 22:30:00,50000000
1458,28,8,5,6,39,29,35,2015-08-30 12:30:00,50000000
1459,14,29,36,16,15,34,18,2015-08-30 14:30:00,50000000
1460,32,45,9,10,47,7,26,2015-08-30 16:30:00,50000000
1461,23,14,41,8,48,7,6,2015-08-30 18:30:00,50000000
1462,5,8,9,26,33,44,20,2015-08-30 20:30:00,50000000
1463,26,49,3,1,45,7,15,2015-08-30 22:30:00,50000000
1464,26,14,18,33,16,10,11,2015-08-31 12:30:00,50000000
1465,35,30,7,28,25,21,31,2015-08-31 14:30:00,50000000
1466,16,21,6,38,37,39,12,2015-08-31 16:30:00,50000000
1467,1,47,17,37,40,19,33,2015-08-31 18:30:00,50000000
1468,7,1,23,18,42,17,37,2015-08-31 20:30:00,50000000
1469,8,44,14,30,43,49,27,2015-08-31 22:30:00,50000000
1470,27,4,45,34,11,42,46,2015-09-01 12:30:00,50000000
1471,38,48,23,41,15,27,16,2015-09-01 14:30:00,50000000
1472,32,16,15,19,47,25,5,2015-09-01 16:30:00,50000000
1473,23,18,21,13,28,8,39,2015-09-01 18:30:00,50000000
1474,29,3,25,10,31,4,38,2015-09-01 20:30:00,50000000
1475,38,43,27,11,32,16,44,2015-09-01 22:30:00,50000000
1476,3,44,17,22,9,12,28,2015-09-02 12:30:00,50000000
1477,15,1,17,34,2,29,45,2015-09-02 14:30:00,50000000
1478,18,2,42,47,3,24,1,2015-09-02 16:30:00,50000000
1479,10,44,32,19,9,7,48,2015-09-02 18:30:00,50000000
1480,16,22,15,35,42,8,27,2015-09-02 20:30:00,50000000
1481,29,21,27,12,17,4,26,2015-09-02 22:30:00,50000000
1482,47,25,15,16,30,43,14,2015-09-03 12:30:00,50000000
1483,27,17,11,24,2,30,28,2015-09-03 14:30:00,50000000
1484,2,42,47,12,38,45,33,2015-09-03 16:30:00,50000000
1485,16,49,2,15,42,39,47,2015-09-03 18:30:00,50000000
1486,41,39,36,35,15,12,19,2015-09-03 20:30:00,50000000
1487,46,44,20,25,3,8,17,2015-09-03 22:30:00,50000000
1488,21,48,3,14,39,1,34,2015-09-04 12:30:00,50000000
1489,20,29,19,28,4,26,15,2015-09-04 14:30:00,50000000
1490,19,8,15,48,47,10,18,2015-09-04 16:30:00,50000000
1491,22,45,18,26,48,37,9,2015-09-04 18:30:00,50000000
1492,26,5,25,30,21,47,6,2015-09-04 20:30:00,50000000
1493,2,6,13,20,7,30,49,2015-09-04 22:30:00,50000000
1494,48,21,47,40,37,49,13,2015-09-05 12:30:00,50000000
1495,15,45,41,35,3,32,37,2015-09-05 14:30:00,50000000
1496,23,12,24,32,10,34,17,2015-09-05 16:30:00,50000000
1497,19,35,34,10,40,42,4,2015-09-05 18:30:00,50000000
1498,27,11,22,4,14,41,39,2015-09-05 20:30:00,50000000
1499,23,31,36,17,32,16,18,2015-09-05 22:30:00,50000000
1500,39,13,14,34,2,4,12,2015-09-06 12:30:00,50000000
1501,44,37,5,3,21,31,30,2015-09-06 14:30:00,50000000
1502,13,4,42,47,28,17,41,2015-09-06 16:30:00,50000000
1503,30,26,1,11,24,32,25,2015-09-06 18:30:00,50000000
1504,29,41,24,22,1,13,11,2015-09-06 20:30:00,50000000
1505,8,45,9,39,20,43,29,2015-09-06 22:30:00,50000000
1506,37,13,20,1,10,22,23,2015-09-07 12:30:00,50000000
1507,24,8,27,18,12,3,21,2015-09-07 14:30:00,50000000
1508,19,15,35,40,33,8,43,2015-09-07 16:30:00,50000000
1509,19,29,17,18,8,45,22,2015-09-07 18:30:00,50000000
1510,15,48,12,41,11,44,23,2015-09-07 20:30:00,50000000
1511,36,40,3,44,13,48,28,2015-09-07 22:30:00,50000000
1512,43,21,40,17,15,29,49,2015-09-08 12:30:00,50000000
1513,32,27,1,37,6,23,19,2015-09-08 14:30:00,50000000
1514,11,16,9,32,47,13,2,2015-09-08 16:30:00,50000000
1515,34,27,13,23,18,21,7,2015-09-08 18:30:00,50000000
1516,7,23,1,8,30,27,14,2015-09-08 20:30:00,50000000
1517,24,27,18,49,30,43,23,2015-09-08 22:30:00,50000000
1518,4,47,21,17,14,3,11,2015-09-09 12:30:00,50000000
1519,18,3,47,43,35,44,4,2015-09-09 14:30:00,50000000
1520,40,2,39,44,16,49,36,2015-09-09 16:30:00,50000000
1521,2,29,31,18,32,24,39,2015-09-09 18:30:00,50000000
1522,35,33,47,26,38,42,45,2015-09-09 20:30:00,50000000
1523,24,33,28,38,44,43,19,2015-09-09 22:30:00,50000000
1524,43,10,8,24,9,19,18,2015-09-10 12:30:00,50000000
1525,22,36,46,32,29,21,37,2015-09-10 14:30:00,50000000
1526,32,41,44,39,29,6,2,2015-09-10 16:30:00,50000000
1527,37,1,23,18,33,41,40,2015-09-10 18:30:00,50000000
1528,27,49,15,36,24,14,20,2015-09-10 20:30:00,50000000
1529,34,14,48,41,6,43,9,2015-09-10 22:30:00,50000000
1530,40,45,41,11,5,27,31,2015-09-11 12:30:00,50000000
1531,11,2,26,30,33,48,18,2015-09-11 14:30:00,50000000
1532,3,32,19,30,4,45,35,2015-09-11 16:30:00,50000000
1533,12,34,48,10,28,46,6,2015-09-11 18:30:00,50000000
1534,35,16,45,33,38,7,43,2015-09-11 20:30:00,50000000
1535,26,5,34,6,7,9,20,2015-09-11 22:30:00,50000000
1536,29,40,32,25,38,8,22,2015-09-12 12:30:00,50000000
1537,36,27,44,22,26,12,49,2015-09-12 14:30:00,50000000
1538,38,42,24,32,49,19,1,2015-09-12 16:30:00,50000000
1539,19,3,2,49,25,22,17,2015-09-12 18:30:00,50000000
1540,15,16,29,44,9,25,48,2015-09-12 20:30:00,50000000
1541,2,46,24,42,48,15,35,2015-09-12 22:30:00,50000000
1542,15,24,46,35,22,11,7,2015-09-13 12:30:00,50000000
1543,23,35,43,1,9,47,10,2015-09-13 14:30:00,50000000
1544,32,44,30,28,23,18,29,2015-09-13 16:30:00,50000000
1545,10,45,41,28,18,35,15,2015-09-13 18:30:00,50000000
1546,38,16,35,37,4,30,29,2015-09-13 20:30:00,50000000
1547,24,44,27,49,28,41,14,2015-09-13 22:30:00,50000000
1548,48,8,7,26,47,38,37,2015-09-14 12:30:00,50000000
1549,22,5,8,31,27,11,26,2015-09-14 14:30:00,50000000
1550,14,3,29,1,44,28,11,2015-09-14 16:30:00,50000000
1551,39,40,48,3,10,12,31,2015-09-14 18:30:00,50000000
1552,36,3,40,14,17,2,33,2015-09-14 20:30:00,50000000
1553,37,12,8,22,39,28,2,2015-09-14 22:30:00,50000000
1554,27,48,31,19,5,37,45,2015-09-15 12:30:00,50000000
1555,35,23,33,36,5,12,30,2015-09-15 14:30:00,50000000
1556,6,4,21,47,36,48,9,2015-09-15 16:30:00,50000000
1557,39,48,23,5,19,17,7,2015-09-15 18:30:00,50000000
1558,11,38,41,35,39,27,3,2015-09-15 20:30:00,50000000
1559,43,23,15,45,42,6,35,2015-09-15 22:30:00,50000000
1560,25,28,4,23,8,16,11,2015-09-16 12:30:00,50000000
1561,2,17,43,6,48,13,8,2015-09-16 14:30:00,50000000
1562,2,25,26,49,14,18,47,2015-09-16 16:30:00,50000000
1563,26,37,25,14,42,11,47,2015-09-16 18:30:00,50000000
1564,43,45,8,30,29,22,11,2015-09-16 20:30:00,50000000
1565,7,22,12,16,2,3,9,2015-09-16 22:30:00,50000000
1566,25,43,48,41,23,46,26,2015-09-17 12:30:00,50000000
1567,3,25,16,49,37,15,24,2015-09-17 14:30:00,50000000
1568,2,11,7,17,10,19,6,2015-09-17 16:30:00,50000000
1569,28,36,11,38,4,26,18,2015-09-17 18:30:00,50000000
1570,44,47,29,19,2,10,24,2015-09-17 20:30:00,50000000
1571,33,16,38,30,41,39,12,2015-09-17 22:30:00,50000000
1572,48,49,32,19,22,3,29,2015-09-18 12:30:00,50000000
1573,6,28,20,32,43,31,41,2015-09-18 14:30:00,50000000
1574,24,47,22,27,14,26,32,2015-09-18 16:30:00,50000000
1575,21,48,11,6,5,39,30,2015-09-18 18:30:00,50000000
1576,34,9,18,38,3,40,17,2015-09-18 20:30:00,50000000
1577,4,32,16,35,1,11,36,2015-09-18 22:30:00,50000000
1578,25,43,45,13,42,40,31,2015-09-19 12:30:00,50000000
1579,18,19,2,40,3,39,34,2015-09-19 14:30:00,50000000
1580,14,10,15,26,45,20,38,2015-09-19 16:30:00,50000000
1581,2,44,35,41,11,32,16,2015-09-19 18:30:00,50000000
1582,8,40,12,33,20,10,6,2015-09-19 20:30:00,50000000
1583,30,38,36,35,18,27,28,2015-09-19 22:30:00,50000000
1584,7,12,8,33,4,25,18,2015-09-20 12:30:00,50000000
1585,19,31,42,28,2,48,11,2015-09-20 14:30:00,50000000
1586,49,45,12,24,38,5,22,2015-09-20 16:30:00,50000000
1587,24,7,27,15,35,46,41,2015-09-20 18:30:00,50000000
1588,13,22,16,5,8,48,6,2015-09-20 20:30:00,50000000
1589,9,46,48,43,30,49,45,2015-09-20 22:30:00,50000000
1590,41,7,24,36,19,31,3,2015-09-21 12:30:00,50000000
1591,35,7,2,40,30,46,34,2015-09-21 14:30:00,50000000
1592,26,44,23,17,48,15,33,2015-09-21 16:30:00,50000000
1593,49,7,45,32,39,21,40,2015-09-21 18:30:00,50000000
1594,10,21,47,25,29,39,37,2015-09-21 20:30:00,50000000
1595,35,10,45,20,32,27,7,2015-09-21 22:30:00,50000000
1596,21,24,29,48,10,5,35,2015-09-22 12:30:00,50000000
1597,22,9,42,5,18,33,8,2015-09-22 14:30:00,50000000
1598,46,3,22,40,7,31,2,2015-09-22 16:30:00,50000000
1599,20,41,29,47,34,13,36,2015-09-22 18:30:00,50000000
1600,47,15,23,28,19,33,38,2015-09-22 20:30:00,50000000
1601,34,3,44,5,1,10,32,2015-09-22 22:30:00,50000000
1602,39,27,20,5,32,28,40,2015-09-23 12:30:00,50000000
1603,38,1,14,43,17,40,41,2015-09-23 14:30:00,50000000
1604,10,33,8,47,30,11,1,2015-09-23 16:30:00,50000000
1605,38,49,22,40,36,27,45,2015-09-23 18:30:00,50000000
1606,4,8,37,35,42,38,40,2015-09-23 20:30:00,50000000
1607,7,16,43,32,14,28,39,2015-09-23 22:30:00,50000000
1608,14,25,8,6,2,24,34,2015-09-24 12:30:00,50000000
1609,1,19,38,47,29,4,13,2015-09-24 14:30:00,50000000
1610,24,1,2,41,17,20,23,2015-09-24 16:30:00,50000000
1611,28,48,23,3,26,47,27,2015-09-24 18:30:00,50000000
1612,12,5,34,46,39,43,27,2015-09-24 20:30:00,50000000
1613,30,3,34,49,16,8,40,2015-09-24 22:30:00,50000000
1614,44,1,26,2,32,39,48,2015-09-25 12:30:00,50000000
1615,12,16,9,8,45,47,15,2015-09-25 14:30:00,50000000
1616,49,48,11,4,12,25,23,2015-09-25 16:30:00,50000000
1617,7,48,36,15,32,27,3,2015-09-25 18:30:00,50000000
1618,45,33,38,11,29,5,49,2015-09-25 20:30:00,50000000
1619,35,12,47,43,14,5,39,2015-09-25 22:30:00,50000000
1620,4,48,17,40,41,34,19,2015-09-26 12:30:00,50000000
1621,14,17,26,23,6,30,4,2015-09-26 14:30:00,50000000
1622,46,17,20,4,13,14,40,2015-09-26 16:30:00,50000000
1623,32,22,19,4,39,36,3,2015-09-26 18:30:00,50000000
1624,32,14,4,36,28,25,37,2015-09-26 20:30:00,50000000
1625,46,40,8,47,34,31,28,2015-09-26 22:30:00,50000000
1626,43,9,39,4,17,7,25,2015-09-27 12:30:00,50000000
1627,25,49,9,6,31,36,17,2015-09-27 14:30:00,50000000
1628,22,25,43,13,26,4,41,2015-09-27 16:30:00,50000000
1629,41,4,48,32,38,39,28,2015-09-27 18:30:00,50000000
1630,33,43,38,1,19,14,11,2015-09-27 20:30:00,50000000
1631,48,13,39,4,40,46,41,2015-09-27 22:30:00,50000000
1632,32,1,22,27,18,47,35,2015-09-28 12:30:00,50000000
1633,33,44,45,42,31,2,4,2015-09-28 14:30:00,50000000
1634,10,19,33,41,46,29,31,2015-09-28 16:30:00,50000000
1635,31,49,29,2,5,41,42,2015-09-28 18:30:00,50000000
1636,32,41,30,14,19,35,21,2015-09-28 20:30:00,50000000
1637,38,46,1,42,28,49,43,2015-09-28 22:30:00,50000000
1638,13,11,3,21,33,6,2,2015-09-29 12:30:00,50000000
1639,11,2,33,4,29,32,39,2015-09-29 14:30:00,50000000
1640,20,39,3,32,8,28,34,2015-09-29 16:30:00,50000000
1641,37,40,32,44,28,20,26,2015-09-29 18:30:00,50000000
1642,33,13,30,34,27,15,17,2015-09-29 20:30:00,50000000
1643,41,30,44,1,42,6,47,2015-09-29 22:30:00,50000000
1644,10,5,21,12,39,48,17,2015-09-30 12:30:00,50000000
1645,44,30,22,40,15,45,31,2015-09-30 14:30:00,50000000
1646,8,12,41,14,5,31,25,2015-09-30 16:30:00,50000000
1647,26,30,31,43,44,40,36,2015-09-30 18:30:00,50000000
1648,48,30,27,33,47,42,40,2015-09-30 20:30:00,50000000
1649,8,5,30,45,28,32,34,2015-09-30 22:30:00,50000000
1650,20,4,22,27,7,6,38,2015-10-01 12:30:00,50000000
1651,17,34,26,20,15,6,5,2015-10-01 14:30:00,50000000
1652,11,18,32,38,12,9,37,2015-10-01 16:30:00,50000000
1653,1,33,36,25,37,47,23,2015-10-01 18:30:00,50000000
1654,47,22,9,29,20,28,32,2015-10-01 20:30:00,50000000
1655,11,46,43,34,31,1,15,2015-10-01 22:30:00,50000000
1656,15,29,18,34,7,21,20,2015-10-02 12:30:00,50000000
1657,33,48,27,39,45,30,44,2015-10-02 14:30:00,50000000
1658,27,25,36,6,2,4,29,2015-10-02 16:30:00,50000000
1659,19,40,49,48,37,22,33,2015-10-02 18:30:00,50000000
1660,13,11,6,43,49,34,19,2015-10-02 20:30:00,50000000
1661,8,17,44,31,9,43,12,2015-10-02 22:30:00,50000000
1662,4,39,35,27,37,34,8,2015-10-03 12:30:00,50000000
1663,40,21,24,6,43,49,4,2015-10-03 14:30:00,50000000
1664,7,39,42,12,23,16,4,2015-10-03 16:30:00,50000000
1665,24,31,18,21,40,47,35,2015-10-03 18:30:00,50000000
1666,12,44,18,13,38,26,28,2015-10-03 20:30:00,50000000
1667,48,25,21,43,15,5,32,2015-10-03 22:30:00,50000000
1668,16,29,40,2,20,25,23,2015-10-04 12:30:00,50000000
1669,27,3,30,44,20,35,4,2015-10-04 14:30:00,50000000
1670,48,3,26,45,8,47,38,2015-10-04 16:30:00,50000000
1671,1,45,29,39,27,31,21,2015-10-04 18:30:00,50000000
1672,45,25,5,24,47,20,18,2015-10-04 20:30:00,50000000
1673,27,24,16,49,47,18,42,2015-10-04 22:30:00,50000000
1674,12,46,23,25,39,4,17,2015-10-05 12:30:00,50000000
1675,6,17,12,7,25,43,21,2015-10-05 14:30:00,50000000
1676,24,28,29,2,27,38,3,2015-10-05 16:30:00,50000000
1677,20,35,39,1,12,3,21,2015-10-05 18:30:00,50000000
1678,26,17,42,12,40,45,25,2015-10-05 20:30:00,50000000
1679,25,15,37,35,45,23,13,2015-10-05 22:30:00,50000000
1680,36,8,42,46,13,11,29,2015-10-06 12:30:00,50000000
1681,38,23,41,17,42,22,26,2015-10-06 14:30:00,50000000
1682,43,6,24,40,5,39,49,2015-10-06 16:30:00,50000000
1683,32,23,19,39,49,44,42,2015-10-06 18:30:00,50000000
1684,23,5,21,35,31,36,44,2015-10-06 20:30:00,50000000
1685,9,38,39,1,13,24,42,2015-10-06 22:30:00,50000000
1686,36,43,6,4,23,10,35,2015-10-07 12:30:00,50000000
1687,33,39,16,40,3,9,38,2015-10-07 14:30:00,50000000
1688,41,3,40,5,26,47,4,2015-10-07 16:30:00,50000000
1689,4,7,25,17,46,14,31,2015-10-07 18:30:00,50000000
1690,25,10,21,48,35,26,12,2015-10-07 20:30:00,50000000
1691,19,11,7,38,33,20,35,2015-10-07 22:30:00,50000000
1692,29,12,20,34,17,41,38,2015-10-08 12:30:00,50000000
1693,7,4,37,45,19,18,20,2015-10-08 14:30:00,50000000
1694,16,36,34,46,26,23,40,2015-10-08 16:30:00,50000000
1695,24,42,4,31,9,10,23,2015-10-08 18:30:00,50000000
1696,3,11,27,16,14,31,18,2015-10-08 20:30:00,50000000
1697,45,11,13,42,19,37,35,2015-10-08 22:30:00,50000000
1698,21,12,38,22,7,27,13,2015-10-09 12:30:00,50000000
1699,34,25,44,28,32,15,22,2015-10-09 14:30:00,50000000
1700,29,31,9,42,35,15,22,2015-10-09 16:30:00,50000000
1701,37,36,26,29,23,18,6,2015-10-09 18:30:00,50000000
1702,44,21,32,38,47,18,23,2015-10-09 20:30:00,50000000
1703,48,22,43,3,32,28,30,2015-10-09 22:30:00,50000000
1704,32,45,21,49,20,18,47,2015-10-10 12:30:00,50000000
1705,45,41,46,47,10,27,24,2015-10-10 14:30:00,50000000
1706,9,16,28,47,39,32,13,2015-10-10 16:30:00,50000000
1707,7,44,47,49,41,17,4,2015-10-10 18:30:00,50000000
1708,17,7,3,9,30,4,1,2015-10-10 20:30:00,50000000
1709,25,41,3,33,36,14,46,2015-10-10 22:30:00,50000000
1710,32,14,18,43,31,29,40,2015-10-11 12:30:00,50000000
1711,26,6,21,40,28,2,49,2015-10-11 14:30:00,50000000
1712,12,32,47,20,8,1,16,2015-10-11 16:30:00,50000000
1713,11,46,7,41,21,25,4,2015-10-11 18:30:00,50000000
1714,23,49,35,12,16,27,28,2015-10-11 20:30:00,50000000
1715,12,40,34,29,32,36,44,2015-10-11 22:30:00,50000000
1716,19,44,46,1,47,22,40,2015-10-12 12:30:00,50000000
1717,29,20,31,13,48,33,44,2015-10-12 14:30:00,50000000
1718,41,26,44,17,19,21,35,2015-10-12 16:30:00,50000000
1719,26,30,22,13,49,7,5,2015-10-12 18:30:00,50000000
1720,28,22,47,5,48,23,16,2015-10-12 20:30:00,50000000
1721,13,2,45,12,37,34,9,2015-10-12 22:30:00,50000000
1722,34,22,32,14,43,13,48,2015-10-13 12:30:00,50000000
1723,42,16,11,17,24,38,3,2015-10-13 14:30:00,50000000
1724,29,28,14,17,33,38,3,2015-10-13 16:30:00,50000000
1725,21,16,32,1,10,26,13,2015-10-13 18:30:00,50000000
1726,25,33,36,16,37,18,44,2015-10-13 20:30:00,50000000
1727,13,35,2,6,45,4,16,2015-10-13 22:30:00,50000000
1728,36,32,22,4,14,24,41,2015-10-14 12:30:00,50000000
1729,2,4,35,5,37,34,30,2015-10-14 14:30:00,50000000
1730,19,34,28,8,33,17,18,2015-10-14 16:30:00,50000000
1731,35,31,21,34,4,44,46,2015-10-14 18:30:00,50000000
1732,15,17,20,6,16,24,41,2015-10-14 20:30:00,50000000
1733,46,38,3,40,26,33,31,2015-10-14 22:30:00,50000000
1734,5,4,34,15,42,47,48,2015-10-15 12:30:00,50000000
1735,2,43,7,46,35,44,14,2015-10-15 14:30:00,50000000
1736,47,20,37,26,35,5,49,2015-10-15 16:30:00,50000000
1737,33,18,32,5,26,35,44,2015-10-15 18:30:00,50000000
1738,20,38,10,43,18,22,31,2015-10-15 20:30:00,50000000
1739,35,13,33,5,29,23,8,2015-10-15 22:30:00,50000000
1740,18,5,45,6,7,27,17,2015-10-16 12:30:00,50000000
1741,15,17,48,9,4,46,44,2015-10-16 14:30:00,50000000
1742,27,38,24,25,40,1,47,2015-10-16 16:30:00,50000000
1743,46,45,6,25,10,36,3,2015-10-16 18:30:00,50000000
1744,31,37,34,26,40,41,49,2015-10-16 20:30:00,50000000
1745,43,19,10,41,46,6,24,2015-10-16 22:30:00,50000000
1746,40,28,38,34,49,2,29,2015-10-17 12:30:00,50000000
1747,32,27,43,16,40,47,49,2015-10-17 14:30:00,50000000
1748,32,23,36,7,18,26,48,2015-10-17 16:30:00,50000000
1749,41,20,27,12,37,16,14,2015-10-17 18:30:00,50000000
1750,26,6,38,29,23,17,42,2015-10-17 20:30:00,50000000
1751,27,32,2,23,46,9,25,2015-10-17 22:30:00,50000000
1752,9,32,10,25,41,5,19,2015-10-18 12:30:00,50000000
1753,48,7,9,6,24,5,39,2015-10-18 14:30:00,50000000
1754,14,37,47,10,4,12,22,2015-10-18 16:30:00,50000000
1755,26,7,30,31,35,4,2,2015-10-18 18:30:00,50000000
1756,11,9,27,34,38,43,19,2015-10-18 20:30:00,50000000
1757,42,18,15,48,30,34,10,2015-10-18 22:30:00,50000000
1758,36,44,14,3,29,34,39,2015-10-19 12:30:00,50000000
1759,35,12,25,10,42,27,5,2015-10-19 14:30:00,50000000
1760,19,8,46,6,10,47,32,2015-10-19 16:30:00,50000000
1761,29,11,37,38,22,2,18,2015-10-19 18:30:00,50000000
1762,42,3,8,34,49,1,39,2015-10-19 20:30:00,50000000
1763,19,14,16,27,13,11,24,2015-10-19 22:30:00,50000000
1764,29,30,45,36,49,11,37,2015-10-20 12:30:00,50000000
1765,26,20,48,36,14,34,30,2015-10-20 14:30:00,50000000
1766,39,10,17,25,34,48,30,2015-10-20 16:30:00,50000000
1767,22,13,32,29,44,23,28,2015-10-20 18:30:00,50000000
1768,34,4,32,30,20,12,47,2015-10-20 20:30:00,50000000
1769,36,7,23,45,6,14,1,2015-10-20 22:30:00,50000000
1770,13,18,39,31,30,3,38,2015-10-21 12:30:00,50000000
1771,12,24,42,2,37,9,10,2015-10-21 14:30:00,50000000
1772,16,48,27,14,28,49,43,2015-10-21 16:30:00,50000000
1773,34,1,41,3,14,21,48,2015-10-21 18:30:00,50000000
1774,36,10,48,49,13,17,27,2015-10-21 20:30:00,50000000
1775,29,14,47,28,17,7,24,2015-10-21 22:30:00,50000000
1776,33,25,32,42,47,38,20,2015-10-22 12:30:00,50000000
1777,27,7,5,44,25,10,26,2015-10-22 14:30:00,50000000
1778,45,31,10,25,24,35,9,2015-10-22 16:30:00,50000000
1779,44,24,4,29,12,17,1,2015-10-22 18:30:00,50000000
1780,48,1,33,45,12,26,25,2015-10-22 20:30:00,50000000
1781,4,13,33,29,10,22,15,2015-10-22 22:30:00,50000000
1782,48,2,42,3,18,12,33,2015-10-23 12:30:00,50000000
1783,8,18,46,48,2,49,3,2015-10-23 14:30:00,50000000
1784,17,28,15,48,12,10,25,2015-10-23 16:30:00,50000000
1785,16,25,8,30,5,22,38,2015-10-23 18:30:00,50000000
1786,8,9,39,17,35,22,2,2015-10-23 20:30:00,50000000
1787,35,1,41,42,29,15,38,2015-10-23 22:30:00,50000000
1788,14,36,42,33,30,31,1,2015-10-24 12:30:00,50000000
1789,25,14,44,45,26,22,16,2015-10-24 14:30:00,50000000
1790,40,4,18,3,17,8,33,2015-10-24 16:30:00,50000000
1791,24,46,15,40,47,32,4,2015-10-24 18:30:00,50000000
1792,17,32,37,43,27,24,36,2015-10-24 20:30:00,50000000
1793,28,23,44,5,18,34,30,2015-10-24 22:30:00,50000000
1794,4,11,30,40,48,42,43,2015-10-25 12:30:00,50000000
1795,18,39,40,2,32,31,13,2015-10-25 14:30:00,50000000
1796,5,25,46,20,26,10,38,2015-10-25 16:30:00,50000000
1797,31,33,47,36,42,49,4,2015-10-25 18:30:00,50000000
1798,31,12,40,48,10,25,29,2015-10-25 20:30:00,50000000
1799,4,17,32,40,16,9,39,2015-10-25 22:30:00,50000000
1800,14,28,9,25,30,11,26,2015-10-26 12:30:00,50000000
1801,20,33,36,30,18,17,23,2015-10-26 14:30:00,50000000
1802,39,10,7,14,41,28,29,2015-10-26 16:30:00,50000000
1803,7,40,49,26,45,31,17,2015-10-26 18:30:00,50000000
1804,21,9,48,44,43,20,5,2015-10-26 20:30:00,50000000
1805,28,40,9,22,24,1,14,2015-10-26 22:30:00,50000000
1806,43,18,38,30,45,49,46,2015-10-27 12:30:00,50000000
1807,33,1,16,24,12,29,19,2015-10-27 14:30:00,50000000
1808,9,25,6,32,46,29,24,2015-10-27 16:30:00,50000000
1809,14,22,28,7,35,3,1,2015-10-27 18:30:00,50000000
1810,15,49,48,6,28,43,16,2015-10-27 20:30:00,50000000
1811,4,18,36,2,19,21,23,2015-10-27 22:30:00,50000000
1812,32,5,6,28,25,46,33,2015-10-28 12:30:00,50000000
1813,37,11,8,5,34,48,25,2015-10-28 14:30:00,50000000
1814,38,44,15,47,22,49,4,2015-10-28 16:30:00,50000000
1815,29,42,45,49,47,33,43,2015-10-28 18:30:00,50000000
1816,1,12,45,27,21,43,20,2015-10-28 20:30:00,50000000
1817,17,18,33,5,1,34,29,2015-10-28 22:30:00,50000000
1818,12,36,1,43,35,40,5,2015-10-29 12:30:00,50000000
1819,4,5,13,23,9,46,24,2015-10-29 14:30:00,50000000
1820,18,26,27,33,1,31,2,2015-10-29 16:30:00,50000000
1821,4,21,3,39,37,34,13,2015-10-29 18:30:00,50000000
1822,48,3,27,41,38,8,42,2015-10-29 20:30:00,50000000
1823,38,10,25,41,23,33,24,2015-10-29 22:30:00,50000000
1824,17,26,7,37,28,34,29,2015-10-30 12:30:00,50000000
1825,28,47,8,20,42,46,5,2015-10-30 14:30:00,50000000
1826,49,4,43,2,1,42,20,2015-10-30 16:30:00,50000000
1827,29,38,49,33,43,16,28,2015-10-30 18:30:00,50000000
1828,41,38,37,49,11,18,35,2015-10-30 20:30:00,50000000
1829,27,14,1,39,8,28,10,2015-10-30 22:30:00,50000000
1830,44,27,49,9,16,46,42,2015-10-31 12:30:00,50000000
1831,22,36,14,42,25,7,43,2015-10-31 14:30:00,50000000
1832,47,26,48,27,3,12,11,2015-10-31 16:30:00,50000000
1833,46,19,41,36,24,45,27,2015-10-31 18:30:00,50000000
1834,49,36,33,11,30,37,9,2015-10-31 20:30:00,50000000
1835,16,33,46,27,47,38,15,2015-10-31 22:30:00,50000000
1836,19,44,30,1,10,38,3,2015-11-01 12:30:00,50000000
1837,44,47,38,49,26,1,12,2015-11-01 14:30:00,50000000
