tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
96,40,12,13,11,47,46,45,2013-03-24 20:00:00,100000000
97,33,40,29,5,45,44,41,2013-03-31 20:00:00,100000000
98,32,43,39,4,27,34,20,2013-04-07 22:00:00,100000000
99,31,2,9,25,3,22,10,2013-04-14 22:00:00,100000000
100,39,28,26,3,14,47,15,2013-04-21 22:00:00,100000000
101,29,21,28,8,5,7,41,2013-04-28 22:00:00,100000000
102,2,42,26,47,13,31,43,2013-05-05 22:00:00,100000000
103,9,14,41,26,10,7,30,2013-05-12 22:00:00,100000000
104,33,8,6,28,44,1,21,2013-05-19 22:00:00,100000000
105,32,10,16,24,33,1,40,2013-05-26 22:00:00,100000000
106,2,25,1,24,41,38,35,2013-06-02 22:00:00,100000000
107,19,2,16,21,13,28,18,2013-06-09 22:00:00,100000000
108,39,44,33,10,7,35,48,2013-06-16 22:00:00,100000000
109,3,15,43,46,48,21,45,2013-06-23 22:00:00,100000000
110,12,21,31,6,49,17,3,2013-06-30 22:00:00,100000000
111,26,8,2,13,45,47,1,2013-07-07 22:00:00,100000000
112,45,9,2,41,20,23,4,2013-07-14 22:00:00,100000000
113,44,46,11,29,24,4,27,2013-07-21 22:00:00,100000000
114,37,5,40,7,17,26,45,2013-07-22 21:00:00,45368187
115,20,47,43,10,1,12,48,2013-07-24 21:00:00,45767911
116,1,17,36,40,33,42,34,2013-07-26 21:00:00,46361450
117,18,25,38,49,24,8,32,2013-07-29 21:00:00,47115426
118,24,40,34,39,15,6,18,2013-07-31 21:00:00,47884888
119,27,42,32,23,29,4,19,2013-08-02 21:00:00,48524782
120,34,25,18,3,13,2,47,2013-08-05 21:00:00,49152093
121,40,6,10,29,3,41,11,2013-08-07 21:00:00,49786034
122,20,7,38,27,25,34,12,2013-08-09 21:00:00,50362914
123,14,21,33,3,40,18,23,2013-08-12 21:00:00,50966434
124,41,29,9,23,27,35,15,2013-08-14 21:00:00,51524014
125,1,16,32,19,2,47,35,2013-08-16 21:00:00,52199586
126,40,35,4,11,14,18,30,2013-08-19 21:00:00,52915840
127,17,11,47,48,1,25,21,2013-08-21 21:00:00,53624765
128,36,13,7,37,15,23,44,2013-08-23 21:00:00,54375194
129,19,2,35,4,37,11,17,2013-08-26 21:00:00,55048562
130,44,16,39,2,45,11,22,2013-08-28 21:00:00,55787789
131,6,11,16,1,44,47,24,2013-08-30 21:00:00,56464172
132,35,16,7,2,39,46,11,2013-09-02 21:00:00,57194422
133,47,22,21,49,19,11,30,2013-09-04 21:00:00,57914586
134,28,45,14,15,8,26,27,2013-09-06 21:00:00,58613082
135,39,1,38,33,4,10,48,2013-09-09 21:00:00,59296257
136,26,18,42,43,10,22,45,2013-09-11 21:00:00,60087723
137,6,12,9,3,31,37,13,2013-09-13 21:00:00,60840677
138,33,34,2,19,41,28,21,2013-09-16 21:00:00,61567832
139,17,40,21,10,35,16,6,2013-09-18 21:00:00,62412745
140,35,41,48,17,24,10,42,2013-09-20 21:00:00,63169052
141,39,16,25,20,37,31,5,2013-09-23 21:00:00,64010442
142,4,49,34,42,38,47,17,2013-09-25 21:00:00,64881430
143,23,24,30,39,19,13,31,2013-09-27 21:00:00,65861090
